Servicio,Clase,Provincia,Total
SECTORES SECCIONALES,Camión,LOJA,1
ESTADO,Tanquero,CARCHI,4
PARTICULAR,Camión,TUNGURAHUA,3081
MUNNICIPIO,Camión,MANABÍ,2
PARTICULAR,Trailer,PICHINCHA,530
ESTADO,Trailer,ORELLANA,1
ESTADO,Volqueta,AZUAY,1
MUNNICIPIO,Volqueta,MANABÍ,13
ALQUILER,Camión,SANTA ELENA,12
OTROS,Camión,GUAYAS,1
ALQUILER,Trailer,TUNGURAHUA,55
ESTADO,Trailer,SUCUMBÍOS,1
MUNNICIPIO,Camión,PASTAZA,7
ESTADO,Trailer,MORONA SANTIAGO,1
ESTADO,Camión,ORELLANA,2
PARTICULAR,Trailer,MANABÍ,195
ALQUILER,Camión,MORONA SANTIAGO,44
ALQUILER,Volqueta,LOJA,24
ESTADO,Volqueta,GALÁPAGOS,2
MUNNICIPIO,Camión,IMBABURA,26
ESTADO,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,13
ESTADO,Camión,SANTA ELENA,6
MUNNICIPIO,Volqueta,BOLÍVAR,12
ESTADO,Camión,LOS RÍOS,11
ALQUILER,Trailer,EL ORO,42
PARTICULAR,Volqueta,MANABÍ,890
MUNNICIPIO,Camión,CAÑAR,8
PARTICULAR,Volqueta,MORONA SANTIAGO,17
PARTICULAR,Trailer,IMBABURA,25
PARTICULAR,Camión,ZAMORA CHINCHIPE,128
PARTICULAR,Tanquero,EL ORO,40
PARTICULAR,Volqueta,COTOPAXI,226
MUNNICIPIO,Camión,MORONA SANTIAGO,4
ALQUILER,Trailer,SUCUMBÍOS,21
PARTICULAR,Camión,BOLÍVAR,556
ALQUILER,Tanquero,MORONA SANTIAGO,1
ALQUILER,Volqueta,PICHINCHA,362
OTROS,Volqueta,COTOPAXI,1
PARTICULAR,Tanquero,PICHINCHA,216
ESTADO,Tanquero,TUNGURAHUA,12
PARTICULAR,Tanquero,NAPO,1
ALQUILER,Trailer,ORELLANA,48
PARTICULAR,Volqueta,GALÁPAGOS,4
ESTADO,Camión,NAPO,5
ALQUILER,Tanquero,LOJA,13
ALQUILER,Tanquero,PASTAZA,1
ALQUILER,Camión,IMBABURA,279
SECTORES SECCIONALES,Tanquero,GALÁPAGOS,1
ESTADO,Trailer,EL ORO,1
ESTADO,Volqueta,PICHINCHA,5
ALQUILER,Volqueta,ZAMORA CHINCHIPE,8
ESTADO,Camión,BOLÍVAR,10
SECTORES SECCIONALES,Tanquero,PICHINCHA,1
PARTICULAR,Camión,GALÁPAGOS,49
MUNNICIPIO,Camión,SUCUMBÍOS,5
ESTADO,Trailer,CAÑAR,7
PARTICULAR,Tanquero,BOLÍVAR,9
OTROS,Volqueta,CAÑAR,9
ESTADO,Camión,CAÑAR,7
MUNNICIPIO,Trailer,ESMERALDAS,1
ESTADO,Tanquero,NAPO,1
ALQUILER,Tanquero,TUNGURAHUA,32
PARTICULAR,Camión,MORONA SANTIAGO,85
MUNNICIPIO,Camión,LOS RÍOS,1
ALQUILER,Volqueta,CHIMBORAZO,28
ESTADO,Camión,ZAMORA CHINCHIPE,4
ESTADO,Camión,CHIMBORAZO,39
ALQUILER,Volqueta,EL ORO,52
ALQUILER,Volqueta,NAPO,5
ESTADO,Camión,IMBABURA,8
MUNNICIPIO,Volqueta,CHIMBORAZO,28
PARTICULAR,Camión,NAPO,105
PARTICULAR,Tanquero,SANTA ELENA,26
ESTADO,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,2
PARTICULAR,Camión,MANABÍ,2549
MUNNICIPIO,Volqueta,LOS RÍOS,10
ESTADO,Trailer,BOLÍVAR,2
PARTICULAR,Tanquero,CARCHI,13
PARTICULAR,Volqueta,IMBABURA,116
SECTORES SECCIONALES,Tanquero,LOJA,1
ALQUILER,Volqueta,ESMERALDAS,16
ESTADO,Camión,TUNGURAHUA,19
MUNNICIPIO,Trailer,CAÑAR,1
ALQUILER,Tanquero,COTOPAXI,21
ALQUILER,Tanquero,MANABÍ,56
PARTICULAR,Volqueta,PICHINCHA,1224
ALQUILER,Camión,PICHINCHA,1269
ALQUILER,Trailer,CHIMBORAZO,30
ALQUILER,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,403
ESTADO,Camión,PASTAZA,6
